slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
kingpin,Kingpin,active,2024,"Dubai, UAE",https://www.kingpin.ai,AI Retail / B2B Distribution,AI-powered B2B retail platform digitizing sales rep workflows and distribution for consumer goods in emerging markets.,3.5,,,,,,,medium,2026-03-21
kite-ai,Kite AI,Private,2023,"San Francisco, CA",https://gokite.ai,AI / Blockchain / Agentic Payments,"Layer 1 blockchain for AI agent payments, enabling autonomous agents to authenticate, transact with stablecoins, and operate with verifiable identity and programmable governance",35.0,,,,,,,medium,2026-03-23
klarity,Klarity,Private,2017,"San Francisco, CA",https://www.klarity.ai,AI / Document Review / Legal Tech / Revenue Operations,"AI-powered document review platform that automates contract analysis and revenue operations workflows, achieving 85%+ pass-through rates on document processing",90.0,,,,,,,high,2026-03-24
klira-ai,Klira AI,active,2025,"San Francisco, CA",https://getklira.com,AI Compliance / Regulated AI,"Compliance layer for AI agents in regulated industries — HIPAA, FDA, AI safety guardrails via SDK. Techstars Fall 2025.",0.4,,,,,,,medium,2026-03-21
knowtex,Knowtex,Private,2022,"San Francisco, CA",https://www.knowtex.ai,AI / Healthcare / Clinical AI,AI-powered ambient clinical documentation and charge capture that makes doctors 2x more efficient,2.0,,,,,,,high,2026-03-23
knowunity,Knowunity,Private,2020,"Berlin, Germany",https://knowunity.com,AI Education / Student Learning Platform,Knowunity is a Berlin-based AI-powered learning platform that combines community-generated study materials with an AI tutor to help students learn more effectively,50.0,,80-100 (estimate),,,,,high,2026-03-20
kodezi,Kodezi,Private (Seed),2019,"San Francisco, CA (originally Orlando, FL)",https://kodezi.com,AI-Powered Developer Tools,"Kodezi is an AI-powered code debugging and autonomous code maintenance platform that positions itself as an ""AI CTO"" for engineering teams",2.0,,9 (estimated 2025),,,,,medium,2026-03-20
krea-ai,KREA,active,2022,"San Francisco, CA, USA",https://www.krea.ai,AI / Creative Tools / Image & Video Generation,"AI creative platform unifying generative image, video, and design tools for creatives, valued at $500M.",83.0,500.0,,,,,,high,2026-03-23
krutrim,Krutrim,active,2023,"Bengaluru, India",https://krutrim.com,foundation-models; ai-infrastructure; indian-languages,India's fastest AI unicorn building multilingual foundation models and AI infrastructure for the Indian market.,280.0,,,,,,,medium,2026-03-23
kyutai,Kyutai,Active,2023,"Paris, France",https://kyutai.org,Artificial Intelligence,"French open-science AI research lab focused on voice and audio AI, backed by Xavier Niel, Rodolphe Saade, and Eric Schmidt",330.0,,,,Nonprofit research lab (open-source models),,,high,2026-03-23
labelbox,Labelbox,Private,2018,"San Francisco, CA (510 Treat Ave, San Francisco, CA 94110)",https://labelbox.com,AI Infrastructure / Data Labeling & Training,"Labelbox is an AI data infrastructure company that provides an integrated platform for data labeling, model evaluation, and expert-sourced training data",189.0,1000.0,150-340 (conflicting reports; see notes),,,,,medium-high,2026-03-20
lambda,Lambda,Private (IPO expected H2 2026),2012,"San Francisco, California",https://lambda.ai,AI / GPU Cloud Infrastructure,Lambda is a GPU cloud infrastructure company providing scalable compute for large-scale AI training and inference,2440.0,,300-500 (estimate; exact figure uncertain),,,,,medium-high,2026-03-24
landbase,Landbase,Private,2023,"San Francisco, CA",https://landbase.com,AI / GTM Automation / Revenue Operations,Agentic AI platform automating outbound prospecting and pipeline generation for GTM teams.,42.5,,50 (estimated),,,,,medium,2026-03-20
langchain,LangChain,Private,Janu,"San Francisco, CA",https://www.langchain.com,AI Infrastructure / Developer Tools,LangChain is the leading open-source framework and commercial platform for building applications powered by large language models (LLMs),260.0,1250.0,,,,,,high,2026-03-20
langfuse,Langfuse,Private,2022,"Berlin, Germany",https://langfuse.com,AI Infrastructure / LLM Observability,"Open-source LLM engineering platform for observability, evaluation, prompt management, and analytics",4.5,,,,,,,high,2026-03-23
latent-health,Latent Health,active,2024,"San Francisco, CA",https://latenthealth.com,AI Healthcare / Clinical Reasoning,"Clinical reasoning engine for healthcare — analyzes patient data, automates prior authorization. 25+ health systems.",80.0,,,,,,,medium,2026-03-21
latent-labs,Latent Labs,active,2024,"London, UK",https://www.latentlabs.com,AI Biology / Protein Design,AI-powered programmable biology — generative models for novel proteins and molecules. Ex-DeepMind AlphaFold.,50.0,,,,,,,medium,2026-03-21
leaping-ai,Leaping AI,Active,2023,"Berlin, Germany / San Francisco, CA",https://leapingai.com,AI Voice Agents / Customer Service,Voice AI agents that automate complex call center operations with human-like conversations,5.2,,,,,,,High,2026-03-23
legion-ai,Legion,active,2024,"Santa Clara, CA",https://www.legionintel.com,AI Enterprise Infrastructure,"Enterprise AI stack — data transformation, model orchestration, secure deployment.",38.0,,,,,,,medium,2026-03-21
legora,Legora,active,2021,"Stockholm, Sweden",https://legora.com,AI Legal / Law Platform,"AI platform for lawyers — document drafting, review, research across 40+ markets. $5.55B valuation.",780.0,5550.0,,,,,,medium,2026-03-21
leiniao-innovation,Leiniao Innovation,active,2021,"Shenzhen, China",https://www.leiniao.com,AI hardware; augmented reality; consumer electronics,Chinese AI + AR glasses maker ranked,140.0,,,,,,,medium,2026-03-23
leo-ai,Leo AI,active,2023,"Cambridge, MA",https://www.getleo.ai,AI Engineering / Mechanical,Mechanical engineering copilot for engineers.,9.7,,,,,,,medium,2026-03-21
lepton-ai,Lepton AI,Acquired by NVIDIA (2025),2023,"San Francisco, CA (later Redmond, WA post-acquisition)",https://lepton.ai,AI Infrastructure / GPU Cloud,"Lepton AI was a GPU cloud infrastructure startup founded by Yangqing Jia, one of the most influential Chinese-born AI researchers in the world",11.0,,20 (at time of acquisition),,,,,high,2026-03-20
leta-logistics,Leta (Logistics),active,2022,"Nairobi, Kenya",https://leta.ai,AI Logistics / Africa,"AI logistics SaaS for Africa — optimizes routes, tracks shipments, streamlines payments. Scaled to 4.5M deliveries.",5.0,,,,,,,medium,2026-03-21
letta,Letta,active,2024,"San Francisco, CA",https://letta.com,AI Agents / Memory Infrastructure,"AI agent infrastructure with persistent self-editing memory. UC Berkeley MemGPT spinout. Angels: Jeff Dean, Clem Delangue.",10.0,,,,,,,medium,2026-03-21
liblib-ai,LiblibAI,active,2023,"Beijing, China",https://www.liblib.art,AI Creative / Image-Video Generation,China largest AI image/video creation community — 20M+ creators. Evolved from Stable Diffusion community.,130.0,,,,,,,medium,2026-03-21
lightmatter,Lightmatter,active,2017,"Boston, Massachusetts, USA",https://lightmatter.co,AI Hardware / Photonic Interconnects,Lightmatter is a photonic computing and interconnect company building silicon-photonic chips that use light instead of electrical signals to move data between processors in AI data centers,850.0,,315 (as of February 2026; estimate),,,,,high,2026-03-20
lightricks,Lightricks,active,2013,"Jerusalem, Israel",https://www.lightricks.com,creative-ai; generative-ai; content-creation,"Israeli creative AI company behind Facetune and LTX Studio, building generative AI tools for image and video creation.",361.0,,,,,,,high,2026-03-23
lila-sciences,Lila Sciences,Private,2023,"Cambridge, MA",https://lila.ai,Biotech AI / Autonomous Scientific Discovery,"Lila Sciences is building what it calls ""AI Science Factories"" -- autonomous laboratories where AI systems design, execute, and interpret scientific experiments with minimal human intervention",550.0,1300.0,100+ (estimated),,,,,high,2026-03-20
limbic,Limbic,active,2018,"London, UK",https://limbic.ai,AI Healthcare / Mental Health,AI mental health chatbot deployed across 33% of UK NHS Talking Therapies. First UKCA Class IIa AI mental health device.,14.7,,,,,,,medium,2026-03-21
liminal-experiences,Liminal Experiences,active,2022,"Santa Monica, CA",https://www.liminal.gg,AI Gaming / UGC,AI-powered UGC gaming studio — players build RPG adventures with generative AI.,5.8,,,,,,,medium,2026-03-21
limx-dynamics,LimX Dynamics,active,2022,"Shenzhen, China",https://www.limxdynamics.com/en,Robotics / Legged Robots,"Multi-form legged robotics — bipedal, quadrupedal, humanoid. CL-1 humanoid and TRON 1 biped.",69.0,,,,,,,medium,2026-03-21
limy,Limy,active,2025,"New York, NY",https://limy.ai,AI Marketing / Agentic Web,Infrastructure helping brands optimize visibility in the agentic web — decodes AI bot interactions on brand sites.,10.0,,,,,,,medium,2026-03-21
lio,Lio,active,2024,"Munich, Germany",https://lio.ai,AI Procurement / Multi-Agent,"Multi-agent AI for enterprise procurement — reads contracts, validates suppliers, negotiates, files records.",33.0,,,,,,,medium,2026-03-21
liquid-ai,Liquid AI,"Active, private",2023,"Cambridge, Massachusetts, USA",https://www.liquid.ai,Artificial Intelligence / Foundation Models,Liquid AI is an MIT CSAIL spinout building foundation models based on **liquid neural networks** — an alternative architecture to the transformer models that underpin most modern AI systems,297.0,2300.0,88 (2025 est.),,,,,high on funding/founders; moderate on revenue/headcount (third-party estimates),2026-03-20
livekit,LiveKit,active,2021,"San Francisco, CA, USA",https://livekit.io,AI / Real-Time Infrastructure,"Open-source real-time communication platform powering voice AI, video, and data streaming for AI applications.",183.0,,,,,,,high,2026-03-23
lizzyai,LizzyAI,active,2025,"New York, NY",https://lizzyai.com,AI Recruiting / Interviewing,AI-native conversational interviewing platform conducting adaptive role-specific interviews at scale.,5.0,,,,,,,medium,2026-03-21
llamaindex,LlamaIndex,active,2022,"San Francisco, CA",https://llamaindex.ai,AI Infrastructure / LLM Framework,Open-source data framework for LLM applications. Connects custom data to large language models.,27.5,,,,,,,medium,2026-03-21
lmarena,LMArena,active,2025,"Berkeley, CA",https://lmarena.ai,AI Evaluation / Benchmarking,AI model evaluation platform using crowdsourced human preference rankings (evolved from Chatbot Arena).,250.0,1700.0,,,,,,medium,2026-03-21
lorikeet,Lorikeet,active,2023,Australia,https://www.lorikeetcx.ai,AI Customer Service / Agentic,"Agentic AI universal concierge for customer service — resolves complex issues, not just chatbot. Airwallex, Linktree as clients.",75.0,,,,,,,medium,2026-03-21
loti-ai,Loti AI,active,2022,"Seattle, WA",https://www.lotiai.com,AI Digital Identity / Deepfake Protection,AI digital identity protection — detects deepfakes and unauthorized use of likeness for celebrities and consumers.,16.2,,,,,,,medium,2026-03-21
lovable,Lovable,Private,2023,"Stockholm, Sweden",https://lovable.dev,AI / Developer Tools / Vibe Coding,"Lovable is a Swedish AI-powered ""vibe coding"" platform that turns natural-language prompts into fully functional, full-stack web applications",567.0,6600.0,146 (as of March 2026),$400M (as of February/March 2026),,,,high,2026-03-20
luma-ai,Luma AI,Private,2021,"Palo Alto, CA",https://lumalabs.ai,AI Video & 3D Generation / Creative AI Agents,"Luma AI is a Palo Alto-based AI company building multimodal generative models for video, 3D, and creative content",1070.0,4000.0,200,,,,,high,2026-03-24
lumai,Lumai,active,2024,"Palo Alto, CA",https://lumai.ai,AI Chips / Photonics,Optical processors using photonics to accelerate LLM inference.,33.0,,,,,,,medium,2026-03-21
lumana,Lumana,active,2023,"Los Gatos, CA",https://lumana.ai,AI Video Security / Vision,"AI video security using vision-language models — turns any camera into intelligent monitoring. McDonalds, Meta, NYU as clients.",64.0,,,,,,,medium,2026-03-21
lumia-security,Lumia Security,active,2025,"New York, NY",https://lumia.security,AI Security / Governance,Agentic AI security and governance platform for enterprise AI agent adoption.,18.0,,,,,,,medium,2026-03-21
luminance,Luminance,"Active, Private",2015,"London, UK (with U.S. operations)",https://www.luminance.com,AI / Legal Tech / Document Intelligence,"> UK-based Legal-Grade AI platform used by 1,000+ organizations across 70 countries, including all Big Four and a quarter of the Global Top 100 law firms",165.0,100.0,,,,,,high,2026-03-24
magic,Magic,"Active, Pre-revenue or very early revenue",2022,"San Francisco, CA",https://magic.dev,AI / Developer Tools / Code Generation,"Magic is building an AI software engineer designed to function as a collaborative ""co-worker"" rather than a simple autocomplete copilot",466.0,1500.0,97 (as of January 2026),,,,,high,2026-03-20
magicschool-ai,MagicSchool AI,Private,2023,"Denver, Colorado",https://www.magicschool.ai,AI Education / EdTech,MagicSchool AI is the fastest-growing AI platform built specifically for teachers and educators,67.0,,100-200 (scaling to 200 by end of 2025),,,,,high,2026-03-20
maieutic-semi,Maieutic Semiconductors,active,2022,"Bengaluru, India",https://www.maieuticsemi.com,AI for Chip Design,Generative AI copilot for analog chip design. Founding team sold Steradian to Renesas.,6.0,,,,,,,medium,2026-03-21
maihem,MAIHEM,Active,2023,"San Francisco, CA",https://maihem.ai,AI Testing & Quality Assurance,AI agents that continuously test and quality-assure conversational AI applications,1.8,,,,,,,Medium,2026-03-23
mainframe,Mainframe,Active,2024,"San Francisco, CA",https://mainfra.me/,Artificial Intelligence / Generative AI / Productivity,"Mainframe builds Cobot, a proactive AI assistant that anticipates user needs and automates daily tasks, founded by the creator of Diagram (acquired by Figma).",6.8,,,,,,,Medium — seed round confirmed by AlleyWatch and multiple sources. Pre-seed details sparse. Early-stage company with product (Cobot) in development.,2026-03-23
majestic-labs,Majestic Labs,active,2024,"San Francisco, CA",https://majestic-labs.ai,AI Hardware / Servers,Memory-dense AI servers with 1000x GPU memory capacity to break the memory wall.,100.0,,,,,,,medium,2026-03-21
mako,Mako,active,2025,"New York, NY",https://mako.ai,AI Infrastructure / GPU Optimization,"GPU optimization tooling streamlining GPU code deployment for faster, more efficient AI systems. Cornell Tech spinout.",8.5,,,,,,,medium,2026-03-21
mal-bank,Mal,active,2025,"Abu Dhabi, UAE",https://www.mal.ai,AI Fintech / Islamic Digital Banking,World first AI-native Islamic digital bank. Record MEA seed round.,230.0,,,,,,,medium,2026-03-21
manas-ai,Manas AI,active,2025,"New York, NY",https://manasai.co,AI Drug Discovery,AI drug discovery co-founded by Reid Hoffman and oncologist Dr. Siddhartha Mukherjee.,24.6,,,,,,,medium,2026-03-21
mandolin-ai,Mandolin,active,2024,"San Francisco, CA",https://www.mandolin.com,AI Healthcare / Prior Auth,"AI agents automating specialty drug prior authorization for cancer, Alzheimers, etc.",40.0,,,,,,,medium,2026-03-21
manus-ai,Manus AI,active,2022,Singapore (relocated from Beijing in May 2025),https://manus.im,AI Agents / General-Purpose AI Assistant,"Manus AI is an AI agent platform that burst onto the scene in March 2025, quickly becoming one of the most talked-about AI products globally",75.0,,,,,,,high,2026-03-20
marqvision,MarqVision,Private,2020,"San Francisco, CA",https://www.marqvision.com,AI / Brand Protection / Intellectual Property,AI-powered intellectual property protection platform that detects and removes counterfeits and brand abuse across online marketplaces globally,90.0,,200,,,,,high,2026-03-23
marr-labs,Marr Labs,Active,2023,"San Francisco, CA",https://marrlabs.com,AI Voice Agents / Customer Service,"Voice agents that perform phone-based tasks like scheduling and customer service, indistinguishable from humans",0.5,,,,,,,Low,2026-03-23
marvelx,MarvelX,active,2023,"Amsterdam, Netherlands",https://www.marvelx.ai,AI for Insurance,"Agentic AI operating system automating claims, underwriting, and compliance for insurers.",6.0,,,,,,,medium,2026-03-21
mastra,Mastra,Active,2024,"San Francisco, CA",https://mastra.ai,AI Developer Tools / Agent Framework,"Open-source TypeScript framework for building AI agents, from the team behind Gatsby",13.5,,,,,,,High,2026-03-23
mate-security,Mate Security,active,2025,Israel,https://mate.security,AI Cybersecurity / SOC,AI-native SOC platform using reasoning models to investigate and resolve security incidents. Founded by Wiz and Microsoft Defender alumni.,15.5,,,,,,,medium,2026-03-21
matters-ai,Matters.AI,active,2023,"San Francisco, CA",https://www.matters.ai,AI Data Security,AI-native data security platform.,6.2,,,,,,,medium,2026-03-21
matx,MatX,active,2022,"San Francisco Bay Area, California, USA",https://matx.com,AI Hardware / Semiconductors (LLM Training),MatX is designing a custom AI chip -- the MatX One -- built from the ground up specifically for training large language models,600.0,,50 (estimate; small team),,,,,high,2026-03-20
maven,Maven AGI,Private,2023,"Boston, MA",https://www.mavenagi.com,AI / Customer Support / Enterprise AI Agents,"Enterprise-grade AI agents for customer support that unify systems, sync functions, and orchestrate real-time action across the full customer journey",78.0,250.0,50 (estimated),,,,,high,2026-03-24
maxim,Maxim AI,Private,2023,"San Francisco, CA (offices also in Bengaluru and Pune, India)",https://www.getmaxim.ai,AI / Developer Tools / AI Evaluation & Observability,"End-to-end AI evaluation and observability platform that helps teams design, test, and monitor AI agents and LLM applications from development through production",3.0,,20 (estimated),,,,,medium,2026-03-24
maxiq,MaxIQ,active,2022,"San Francisco, CA",https://www.getmaxiq.com,AI Sales / Customer Journey,AI customer journey management platform mapping full B2B lifecycle.,7.8,,,,,,,medium,2026-03-21
mem0,Mem0,active,2023,"San Francisco, CA, USA",https://mem0.ai,AI / Memory Infrastructure,"AI memory layer providing persistent, adaptive memory for LLM applications and AI agents.",24.0,,,,,,,high,2026-03-23
mercor,Mercor,active,2023,"San Francisco, CA",https://mercor.com,AI Infrastructure / Human-in-the-Loop AI Training,Mercor is an AI infrastructure company that connects frontier AI labs with domain experts for model post-training,492.0,10000.0,,,,OpenAI; Anthropic; Meta; Google DeepMind (reported),,high,2026-03-20
merge-labs,Merge Labs,active,2025,"San Antonio, TX",https://merge.io,AI Neurotech / Brain-Computer Interface,Less-invasive BCI using ultrasound modules. Co-founded by Sam Altman. Backed by OpenAI.,252.0,850.0,,,,,,medium,2026-03-21
metax-gpu,MetaX (GPU),active,2020,"Shanghai, China",https://www.metax-tech.com/en,AI Chips / GPU Design,Chinese AI GPU maker. Revenue 743M yuan in 2024. IPO on STAR Market — shares surged 700% on debut. AMD veterans.,596.0,,,,,,,medium,2026-03-21
midjourney,Midjourney,active,2021,"San Francisco, California",https://www.midjourney.com,AI Image & Video Generation,Midjourney is an independent AI research lab and company that builds generative AI tools for image and video creation,0.0,,107-163 (2025 estimates vary by source; projected 250-300 by late 2026),,,,,medium,2026-03-20
milestone-ai,Milestone AI,active,2025,"Tel Aviv, Israel",https://mstone.ai,AI Engineering ROI,Platform measuring ROI of generative AI coding tools for engineering teams.,10.0,,,,,,,medium,2026-03-21
mind-robotics,Mind Robotics,active,2025,"Palo Alto, CA",https://www.mindrobotics.com,industrial robotics; AI; manufacturing automation; dexterous manipulation; physical AI,"Building AI-powered industrial robots that bring human-like dexterity and physical reasoning to factory work, spun out of Rivian.",615.0,2000.0,,,"Mind Robotics is building an integrated AI robotics platform -- models, custom hardware (including robotic hands/end-effectors), and deployment infrastructure -- for industrial manufacturing environments. The key strategic differentiator is 'captured distribution': Rivian serves as both a major shareholder and an anchor customer, providing immediate access to high-volume production lines and a massive proprietary data flywheel for training AI models. This bypasses the classic robotics startup 'chicken and egg' problem of needing deployment data to improve models but needing good models to secure deployments. The company designs robots around specific industrial tasks (parts handling, wiring assembly, component assembly) rather than pursuing humanoid form factors. The initial go-to-market is deploying robots at scale within Rivian's own factories, with the likely path to external customers once the platform is proven. Revenue model details have not been publicly disclosed.",,,medium,2026-03-20
mindoo,Mindoo,active,2024,"Antwerp, Belgium",https://mindoo.ai,AI Healthcare / Hospital Workforce,"Voice-first AI agents for hospitals handling patient intake, documentation, and front-desk workflows.",5.5,,,,,,,medium,2026-03-21
mindsdb,MindsDB,active,2017,"San Francisco, CA, USA",https://mindsdb.com,AI / Database & ML Platform,"Open-source AI platform that brings machine learning capabilities directly into databases, enabling developers to build AI applications with SQL.",54.0,,,,,,,medium,2026-03-23
minimax,MiniMax (MiniMax Group Inc.),"Public (Hong Kong IPO, January 9, 2026)",2021,"Shanghai, China",https://www.minimax.io,"Artificial Intelligence — Foundation Models, Generative AI (Video, Text, Speech)","MiniMax is one of China's ""Six AI Tigers"" — the cohort of leading Chinese AI startups that emerged in the post-ChatGPT era (alongside Zhipu AI, Moonshot AI / Kimi, Baichuan, 01.AI, and StepFun)",1150.0,,,,,,,medium,2026-03-20
mintlify,Mintlify,Private,2021,"San Francisco, CA",https://www.mintlify.com,AI / Developer Tools / Documentation,"AI-powered intelligent knowledge platform for creating, maintaining, and searching developer documentation",21.7,,,,,,,high,2026-03-23
mirelo-ai,Mirelo AI,Private,2023,"Berlin, Germany",https://mirelo.ai,AI / Generative Audio / Media,"AI foundation model company that generates perfectly synchronized sound effects for video content, solving the silent problem of AI-generated video",44.0,,,,,,,high,2026-03-23
mistral-ai,Mistral AI,Private,2023,"Paris, France",https://mistral.ai,Artificial Intelligence,"French AI company building open-weight and proprietary frontier LLMs with enterprise customization, agent orchestration, and multilingual capabilities",3170.0,,,,Open-core SaaS (API + enterprise subscriptions + consumer product),,,high,2026-03-20
modal,"Modal (Modal Labs, Inc.)",active,2021,"New York, NY",https://modal.com,AI Infrastructure / Cloud Computing,Modal is a serverless compute platform purpose-built for AI and ML workloads,111.0,1100.0,118 (as of Feb 2026),,,,,high on funding/founders; moderate on revenue/valuation talks,2026-03-20
model-ml,Model ML,active,2023,"San Francisco, CA",https://www.modelml.com,AI for Financial Research,AI research workspace automating due diligence and investment memos for banks and PE firms.,12.0,,,,,,,medium,2026-03-21
modelbest,ModelBest,active,2022,"Haidian District, Beijing, China",https://modelbest.cn,On-Device AI / Small Language Models,ModelBest is a Tsinghua University spinout that has carved out a distinctive niche in China's AI landscape: building high-performance small language models optimized for on-device deployment,,,,,,,,high,2026-03-20
modular-ai,Modular AI,active,2022,"Los Altos Hills, CA",https://www.modular.com,AI Infrastructure / Developer Platform,"Unified AI developer platform. Created Mojo programming language. Founded by Chris Lattner (creator of LLVM, Swift).",380.0,,,,,,,high,2026-03-24
momenta,Momenta,active,2016,"Beijing, China",https://www.momenta.ai,Autonomous Driving / AI Software,"Momenta is a Beijing-based autonomous driving company that develops AI software for self-driving vehicles, spanning both L2+ driver-assistance systems (ADAS) and full L4 autonomous driving",1420.0,6000.0,1500+ (estimated),,,,,high,2026-03-20
monarch-tractor,Monarch Tractor,Private,2017,"Livermore, California, USA",https://www.monarchtractor.com,Agricultural Robotics / Autonomous Vehicles,"Monarch Tractor designs and manufactures fully electric, autonomous (""driver-optional"") smart tractors for the agricultural sector",220.0,,200,,,,,high,2026-03-20
monte-carlo-data,Monte Carlo,active,2019,"San Francisco, California, USA",https://www.montecarlodata.com,Data Observability & AI Data Quality,Monte Carlo is the pioneer and market leader in data observability -- a category the company essentially created,236.0,1600.0,559,~82_000_000,,,,high,2026-03-24
moonlake-ai,Moonlake AI,Active,2025,"San Francisco, CA",https://moonlakeai.com/,Artificial Intelligence / Generative AI / Interactive Simulation,"Moonlake AI is an AI research lab building multimodal reasoning models that let anyone vibe-code interactive worlds, simulations, and games in minutes.",28.0,,,,,,,"High — funding confirmed by WebWire, TechCrunch, NVIDIA, and multiple sources. Notable angel investors include Jeff Dean, Steve Chen, Naval Ravikant, Ian Goodfellow.",2026-03-23
moonshot-ai,Moonshot AI,active,2023,"Beijing, China",https://www.moonshot.cn,foundation models; long-context AI; consumer AI,"Beijing-based AI lab behind the Kimi chatbot, pioneering long-context LLMs in China.",3000.0,18000.0,,,,,,medium,2026-03-23
moonvalley,Moonvalley,active,2023,"Toronto, Canada",https://www.moonvalley.com,AI Video Generation,"Moonvalley's flagship model, **Marey**, was announced in March 2025 and reached general availability in July 2025",154.0,,123,,,,,high,2026-03-20
moore-threads,Moore Threads,active,2020,"Beijing, China",https://www.mthreads.com,GPU Chips / AI Accelerators,Chinese GPU maker developing full-function AI accelerators and graphics chips with its own MUSA software ecosystem as an alternative to Nvidia's CUDA,600.0,,1500+ (estimated),,,,,high,2026-03-20
mosaic,MosaicML,"Acquired by Databricks ($1.3B, July 2023)",2021,"San Francisco, CA",https://www.mosaicml.com,AI / Model Training / MLOps / LLMs,"AI model training platform that made it dramatically easier and cheaper for enterprises to train custom large language models, acquired by Databricks for $1.3B",64.0,1300.0,60 (at time of acquisition),,,,,high,2026-03-24
motif-systems,Motif Systems,active,2024,"San Francisco, CA",https://www.motif.io,AI for Architecture/Construction,"AI-native design platform for architecture, engineering, and construction.",46.0,,,,,,,medium,2026-03-21
moveworks,Moveworks,"Acquired by ServiceNow (completed December 15, 2025)",2016,"Mountain View, California",https://www.moveworks.com,Enterprise AI / Agentic AI Copilot & Employee Support,"Moveworks built an AI-powered employee support platform -- an ""enterprise copilot"" -- that automates IT, HR, finance, and facilities requests through natural language conversation",315.0,2100.0,500 (pre-acquisition estimate),"$100M+ (late 2024, per company disclosure)",,,,high,2026-03-20
mozart-ai,Mozart AI,active,2024,"London, UK",https://mozartai.com,AI Music / Generative Audio,"Generative Audio Workstation — AI music creation for amateurs and pros. 100K users, 1M songs in beta.",7.0,,,,,,,medium,2026-03-21
multifactor,Multifactor,active,2024,"San Francisco, CA",https://multifactor.com,AI Security / Post-Quantum Auth,Credential-less authentication for humans and AI agents using post-quantum cryptography. Eliminates passwords.,15.0,,,,,,,medium,2026-03-21
multiverse-computing,Multiverse Computing,active,2019,"San Sebastian, Spain",https://multiversecomputing.com,quantum-ai; model-compression; enterprise-ai,Quantum-inspired AI company that compresses large language models by up to 95% with minimal precision loss.,285.0,,,,,,,high,2026-03-23
murphy-ai,Murphy,active,2024,"Barcelona, Spain",https://murphy.ai,AI Fintech / Debt Servicing,AI-powered debt servicing making collections more efficient and humane. Backed by Northzone and ElevenLabs.,14.0,,,,,,,medium,2026-03-21
music-ai,Music AI (Moises),Private,2019,"Salt Lake City, UT",https://music.ai,AI / Music Technology / Audio,"AI-powered music platform with 50M+ users worldwide offering stem separation, chord recognition, and music transcription tools, winning Apple iPad App of the Year 2024",50.2,,,,,,,high,2026-03-23
mythic-ai,Mythic,active,2024,"Austin, TX",https://mythic.ai,AI Infrastructure,AI infrastructure company. Raised $125M venture round in Dec 2025.,125.0,,,,,,,medium,2026-03-21
mytra,Mytra,active,2021,"Brisbane, CA",https://mytra.ai,AI Robotics / Industrial,Industrial robotics automation.,120.0,,,,,,,medium,2026-03-21
n8n,n8n,active,2019,"Berlin, Germany",https://n8n.io,AI Workflow Automation,Open-source workflow automation with AI orchestration. 60K+ deployments.,253.5,,,,,,,high,2026-03-24
nace-ai,Nace.AI,active,2024,Canada,https://nace.ai,AI Enterprise / Dynamic Models,"MetaModel system generating task-specific AI models on demand for audit, risk, and compliance.",5.0,,,,,,,medium,2026-03-21
nebius,Nebius Group,"Public (NASDAQ, resumed trading October 2024)",2022,"Amsterdam, Netherlands",https://nebius.com,AI / GPU Cloud Infrastructure,Nebius is a full-stack AI cloud infrastructure provider offering GPU-as-a-Service (GPUaaS) to AI developers and enterprises,7450.0,,2000+ (estimate; exact figure uncertain),,,,,high,2026-03-24
netic,Netic,active,2024,"San Francisco, CA",https://netic.ai,AI for Home Services,"AI revenue engine for plumbers, roofers, HVAC — automates client outreach, calls, and scheduling.",43.0,,,,,,,medium,2026-03-21
netradyne,Netradyne,Private,2015,"San Diego, California",https://www.netradyne.com,AI for Fleet Safety / Computer Vision & Edge AI,Netradyne is a private technology company specializing in artificial intelligence and edge computing for fleet safety and management,250.0,1340.0,800+,,,,,high,2026-03-20
neura-robotics,NEURA Robotics,Private,2019,"Metzingen, Germany",https://neura-robotics.com,Cognitive Robotics / Humanoid Robotics,"NEURA Robotics is a German cognitive and humanoid robotics company building robots designed to work seamlessly alongside humans in manufacturing, logistics, and healthcare environments",281.0,,300,,,,,high,2026-03-20
neural-concept,Neural Concept,active,2018,"Lausanne, Switzerland",https://neuralconcept.com,AI Engineering / Simulation,"AI simulation for engineering design — aerodynamics, thermal, structural. Backed by NVIDIA, Siemens, Microsoft.",95.0,,,,,,,medium,2026-03-21
nevis,Nevis,Private,2024,"New York, NY",https://www.neviswealth.com,AI for Wealth Management,Nevis is an AI platform purpose-built for Registered Investment Advisors (RIAs) that automates the administrative workflows consuming up to 80% of a financial advisor's time,40.0,200.0,20-40 (estimated early-stage),Undisclosed,,,,high,2026-03-20
newo,Newo,active,2023,"San Francisco, CA",https://newo.ai,AI Voice / SMB Front Desk,"AI voice and text agents as always-on front desks for small businesses. 15K+ agents deployed, 200+ partners.",32.0,,,,,,,medium,2026-03-21
nexos-ai,nexos.ai,active,2024,"Vilnius, Lithuania",https://nexos.ai,AI Orchestration,AI orchestration platform — single interface connecting to 200+ AI models for enterprise.,8.0,,,,,,,medium,2026-03-21
