slug,name,status,founded_year,hq,website,sectors,one_liner,total_raised_m,latest_valuation_m,latest_round,latest_round_date,business_model,revenue_signals,key_customers,employee_count,team_china_profile,confidence,last_updated
vectara,Vectara,active,2022,"Palo Alto, CA",https://www.vectara.com,RAG-as-a-service; enterprise AI search; AI infrastructure,"End-to-end RAG-as-a-service platform for enterprise AI search and retrieval, founded by ex-Google/Cloudera co-founder Amr Awadallah.",73.5,,,,"SaaS / usage-based. Credit-based pricing where credits represent usage across API calls, data storage, and compute for processing different data types (tables, images, etc.) in the RAG pipeline. Enterprise plans: Small ($100K/year), Medium ($250K/year), Large ($500K/year). VPC and on-premise deployment options available. Also offers forward-deployed engineers and platinum support as add-ons. Free tier available for developers. Hybrid GTM combining product-led growth (self-serve signup) and enterprise sales.",No public revenue figures available. Enterprise pricing starting at $100K/year suggests meaningful ACV. Broadcom partnership is the most prominent named customer win. ~72 employees as of late 2025 across 4 continents.,"Broadcom (selected Vectara for agentic conversational AI customer service, announced 2025); IEEE; Anywhere; Serves financial services, insurance, healthcare, manufacturing, legal, and e-commerce verticals",72,"No known Chinese-origin founders. The founding team has roots in Egypt (Awadallah), with Google and Cloudera pedigree. No significant public China connections.",medium,2026-03-20
vercel,Vercel,active,2015,"San Francisco, CA",https://vercel.com,Developer Tools; Frontend Cloud; AI Code Generation,,863.0,9300.0,"Series F ($300M, September 2025)",,,,,875,,medium,2026-03-20
viz-ai,Viz.ai,active,2016,"San Francisco, CA",https://www.viz.ai,Healthcare AI; Clinical Decision Support,,252.0,1200.0,,,,,,325,,medium,2026-03-20
vultr,Vultr,active,2014,"Fort Lauderdale, Florida",https://www.vultr.com,AI; GPU Cloud Infrastructure,,,,,,,,,500,,medium-high,2026-03-20
wayve,Wayve,active,2017,"London, United Kingdom",https://wayve.ai,,,2500.0,8600.0,,,,,,,,medium,2026-03-20
weaviate,Weaviate,active,2019,"Amsterdam, Netherlands",https://weaviate.io,vector databases; AI infrastructure; search,"Open-source, AI-native vector database built in Go, founded by Dutch entrepreneur Bob van Luijt who started coding at 15 and studied jazz composition before pivoting to infrastructure.",117.6,200.0,,,"Open-core SaaS. The core Weaviate vector database is open-source (BSD-3 license) and free to self-host. Revenue comes from Weaviate Cloud Services, offered in three tiers: (1) Shared Cloud (formerly Serverless Cloud) -- multi-tenant, pay-as-you-go; (2) Dedicated Cloud (formerly Enterprise Cloud) -- fully managed dedicated resources with enterprise-grade support, RBAC, SOC 2, HIPAA compliance; (3) Bring Your Own Cloud (BYOC) -- Weaviate manages the database on the customer's cloud infrastructure. Enterprise pricing is based on annual contracts using AI Units (AIUs), with AWS and Azure Marketplace starting contracts at $10,000 for 12 months. Pricing updated October 27, 2025 with new dimensions including storage and backups, regional pricing variations, and HA cluster options.","$12.3M annual revenue in 2024, per Latka. 104 employees at that time, implying ~$118K revenue per employee. Employee count grew 68% in 2024. Employee count has since contracted to ~81 as of February 2026, which may indicate cost discipline or restructuring. No public 2025 revenue figures found.","Instabase (50K+ tenants, 450+ data types indexed for a single customer solution); Red Hat; NetApp; Morningstar; Cisco; Bunq; Stack AI; 2,000+ companies in production (as of Series B announcement, 2023); 50,000+ AI builders in the community (as of 2025)",81,No known Chinese-origin founders. The founding team is Dutch and German. No significant public China connections.,medium,2026-03-20
weights-and-biases,Weights And Biases,active,,,,,,,,,,,,,,,low,2026-03-20
weka,WEKA,active,2013,"Campbell, California, USA",https://www.weka.io,AI Data Infrastructure; High-Performance Storage,,375.0,1600.0,,,,,,533,,medium,2026-03-20
windsurf,Windsurf,acquired,2021,"Mountain View, CA",,AI Developer Tools; AI Code Editor,,243.0,,,,,,,,,medium,2026-03-20
world-labs,World Labs,active,2024,"San Francisco, CA",https://www.worldlabs.ai,spatial intelligence; 3D generation; world models,"Spatial intelligence startup building Large World Models that generate and reason about 3D environments, founded by AI pioneer Fei-Fei Li.",1230.0,5000.0,,,"SaaS + API + enterprise partnerships. Primary product is Marble, a generative world model platform launched publicly in November 2025. Consumer/prosumer tiers: Free (4 generations), Standard ($20/mo, 12 generations), Pro ($35/mo, 25 generations, commercial rights), Max ($95/mo, 75 generations). World API launched January 2026 with credit-based pricing ($1.00 per 1,250 credits, $5 minimum). Strategic enterprise partnerships (e.g., Autodesk collaboration for entertainment/3D workflows). Target customers: creators, game studios, film/VFX, architects, and enterprises needing high-fidelity 3D content at scale.","No public revenue figures. Product launched only in November 2025 (beta earlier), so commercial traction is very early-stage. The Autodesk strategic investment ($200M) and partnership signals serious enterprise interest. Pricing tiers suggest initial focus on prosumer and indie creator adoption with enterprise upsell.",,,"CEO and lead founder Fei-Fei Li was born in Beijing, raised in Chengdu, and immigrated to the U.S. at 16. She is arguably the most prominent mainland Chinese-born figure in the global AI research community. Her immigration story -- from working at a family dry-cleaning shop to becoming a Stanford professor and creating ImageNet -- is a canonical narrative in American tech. The other three co-founders (Johnson, Mildenhall, Lassner) do not appear to have Chinese origins.",medium-high,2026-03-20
writer,Writer,active,2020,"San Francisco, CA",https://writer.com,Enterprise AI; Generative AI,,369.0,1900.0,,,,,,200,,high,2026-03-20
xai,xAI,acquired,2023,"San Francisco, CA (operations centered in Memphis, TN)",https://x.ai,AI; Foundation Models; Consumer AI,,45000.0,250000.0,,,,,,1000,,medium,2026-03-20
xaira-therapeutics,Xaira Therapeutics,active,2024,"San Francisco Bay Area, CA",https://xaira.com,Biotech AI; Drug Discovery,,1000.0,4000.0,,,,,,100,,medium,2026-03-20
zhipu-ai,Zhipu AI (Z.ai / Knowledge Atlas Technology),active,2019,"Beijing, China (Tsinghua University Science Park)",https://www.zhipuai.cn/en,,,,,,,,,,1000,,medium,2026-03-20
