company_slug,company_name,founder_name,role,background,origin,status
jump-ai,Jump Ai,Adam Kirk,Co-Founder,Technical co-founder with expertise in AI/ML systems for financial services applications.,American,
juna-ai,Juna Ai,Matthias Auf der Mauer,Co-Founder & CEO,"Previously founded AiSight (predictive machine maintenance), sold to Swiss smart sensor company Sensirion in 2021.",German,
juna-ai,Juna Ai,Christian von Hardenberg,Co-Founder & CTO,"Former CTO of Rocket Internet and Delivery Hero. Scaled engineering teams of 2,500+ people and launched 50+ internet companies.",German,
k-scale-labs,K Scale Labs,Benjamin Bolte,Co-Founder,"Tesla, Meta robotics",American,
k-scale-labs,K Scale Labs,Matthew Freed,Co-Founder,"Lockheed Martin, General Dynamics",American,
k-scale-labs,K Scale Labs,Pawel Budzianowski,Co-Founder,"PhD Cambridge, ML researcher",Polish,
kaaj,Kaaj,Utsav Shah,Co-Founder & CEO,Spent a decade at Uber and Cruise building large-scale AI decision systems.,Indian-American,
kaaj,Kaaj,Shivi Sharma,Co-Founder & President,"Credit and fraud risk expert at American Express, Uber, and Varo Bank.",Indian-American,
kai-security,Kai Security,Galina Antova,CEO & Co-founder,"Previously co-founded Claroty, the $3 billion industrial cybersecurity leader. Deep expertise in OT/ICS security.",Bulgarian. Based in the United States,
kai-security,Kai Security,Damiano Bolzoni,CTO & Co-founder,"PhD-level AI researcher. Co-founded SecurityMatters, an OT cybersecurity company later acquired by Forescout Technologies.",Italian,
kaizen-labs,Kaizen Labs,Nikhil Reddy,Co-Founder & CEO,Early engineer at Anduril (defense technology).,Indian-American,
kaizen-labs,Kaizen Labs,KJ Shah,Co-Founder & COO,Started career in M&A. Exposed to public-sector technology at William Blair.,Indian-American,
kalinda-ai,Kalinda Ai,Sayan Bhatia,Co-Founder,YC S25 batch.,Indian,
kalinda-ai,Kalinda Ai,Sohil Bhatia,Co-Founder,YC S25 batch.,Indian,
kalshi,Kalshi,Tarek Mansour,Co-Founder / CEO,Algerian-born; MIT graduate; quantitative finance background,Algerian-American,
kalshi,Kalshi,Luana Lopes Lara,Co-Founder,Brazilian-born; MIT classmate of Mansour; financial analyst background,Brazilian,
kana-ai,Kana Ai,Tom Chavez,CEO,"Serial martech founder — Rapt (acq Microsoft), Krux (acq Salesforce)",American (Hispanic heritage),
kana-ai,Kana Ai,Vivek Vaidya,CTO,Co-founded Rapt and Krux,Indian-American,
keenon-robotics,Keenon Robotics,Tony Li,CEO,Founded Keenon in 2010.,,
keplar,Keplar,Dhruv Guliani,Co-Founder & CEO,Former engineer at Google (speech and voice AI models). South Park Commons founder fellowship.,Indian,
keplar,Keplar,William Wen,Co-Founder & CTO,Machine learning engineer. South Park Commons founder fellowship.,Chinese-American,
kernel,Kernel,Anders Krohn,Co-Founder & CEO,BA in Economics & Management (Hons) from University of Oxford; studied at 5 universities on 3 continents; previously CEO and Co-Founder of Aula Education (helped universities bring learning online); Co-Founder and MD of Ublend,Denmark,
kernel,Kernel,Marcus Henglein,Co-Founder,Bachelor's in Philosophy; previously CEO and Co-Founder of Aula Education alongside Krohn; Co-Founder and MD of Ublend; co-founded Project Access; former consultant at Boston Consulting Group; military service in Light Reconnaissance for Forsvaret (Norwegian Armed Forces),Norway,
kerno,Kerno,Sean Madigan,Co-Founder & CEO,"Engineering background; former EMEA Director at Secure Code Warrior (raised $100M+, scaled ARR from $0 to $15M); entrepreneur focused on developer tools and security",Ireland,
kerno,Kerno,Vladimir Romanov,Co-Founder,"B.Eng in Electrical Engineering; MBA from McGill University; automation and engineering manager at Procter & Gamble, Kraft Heinz, and Post Holdings; founded SolisPLC (industrial automation education platform)",Canada,
kerno,Kerno,Karim Traiaia,Co-Founder & CPO,"BCom in Entrepreneurship and Strategic Management from McGill University; previous roles at SolisPLC, Memgraph, Techstars, and Startup Basecamp; Li Ka Shing Summer Program scholar",Canada,
kerno,Kerno,Anibal Ambertin,Co-Founder,Software engineer with extensive backend and infrastructure experience,Argentina,
kerno,Kerno,Maximiliano De Lorenzo,Co-Founder & Tech Lead,Degree in Informatics (Ingenieria en Informatica) from Universidad Nacional de La Matanza; previous experience at So Energy; London-based engineer,Argentina,
keychain,Keychain,Oisin Hanrahan,Co-Founder & CEO,Irish entrepreneur. Former CEO of Angi (Angie's List) and co-founder/CEO of Handy. Serial founder.,Irish,
keychain,Keychain,Umang Dua,Co-Founder,,Indian,
keychain,Keychain,Jordan Weitz,Co-Founder,,American,
keystone-ai,Keystone Ai,Pablo Hansen,Founder,Master's degree in AI at age 19. Founded Keystone at 20. YC S25 batch.,,
kilo-code,Kilo Code,Sid Sijbrandij,Co-founder,Co-founder of GitLab,Dutch,
kilo-code,Kilo Code,Scott Breitenother,Co-founder,,,
kingpin,Kingpin,Harsh Sajnani,Co-Founder & CEO,Third-generation industry operator in MENA distribution.,Indian,
kingpin,Kingpin,Guilherme Soares,Co-Founder & COO,Third-generation industry operator in Latin American distribution.,Brazilian,
kite-ai,Kite Ai,Chi Zhang,Co-Founder & CEO,PhD in AI from UC Berkeley. Former core data products lead at Databricks.,Chinese,
kite-ai,Kite Ai,Scott Shi,Co-Founder & CTO,Built real-time AI infrastructure at Uber. Founding engineer on Salesforce Einstein AI.,Chinese-American,
klarity,Klarity,Andrew Antos,Co-Founder & CEO,Harvard Law School graduate. Former Biglaw experience. Met co-founder Nischal Nadhamuni in MIT class 15.390 (New Enterprises) in 2017.,American,
klarity,Klarity,Nischal Nadhamuni,Co-Founder & CTO,MIT Computer Science graduate with AI specialization. Named to Forbes 30 Under 30.,Indian-American (inferred from name),
klarity,Klarity,Logan Ford,Co-Founder,Technical co-founder.,American,
klavis-ai,Klavis Ai,Xiangkai Zeng,Co-founder,"Co-authored Gemini paper. Built tool-calling infra for Gemini at Google DeepMind. CMU MS, Beihang BS.",Chinese,
klavis-ai,Klavis Ai,Zihao Lin,Co-founder,"Former Senior Engineer at Lyft (recommendations). Northeastern MS, Beihang BS.",Chinese,
klira-ai,Klira Ai,Eduardo de la Garza,Co-Founder & CEO,Helped Fortune 100 companies in regulated industries deploy AI talent and governance strategies.,Mexican,
klira-ai,Klira Ai,Ricardo Sandoval,Co-Founder & CTO,Built AI risk models for $20B portfolio at Banorte (largest Mexican bank). Generated 1B+ USD in business value.,Mexican,
knowtex,Knowtex,Caroline Zhang,Co-Founder & CEO,"Stanford CS (AI concentration) and Economics; previously at Schmidt Futures (AI research/policy), Morgan Stanley (investment banking), and Salk Institute (biomedical research); worked as medical scribe",American,
knowtex,Knowtex,Jocelyn Kang,Co-Founder & CTO,"Stanford CS + Linguistics/Psychology (Summa Cum Laude, Phi Beta Kappa); founding product team member at Learn to Win; previously worked on AI/ML teams at multiple startups; worked as medical scribe",American,
knowunity,Knowunity,Benedict Kurz,CEO,Founded Knowunity at age 17 while still in school; skipped university to build the company,German,
knowunity,Knowunity,Gregor Weber,CPO,Co-founded Knowunity as a teenager; leads product,German,
knowunity,Knowunity,Lucas Hild,CTO,Co-founded Knowunity as a teenager; leads engineering,German,
knowunity,Knowunity,Yannik Prigl,Co-Founder,Co-founded Knowunity as a teenager; backend engineering,German,
kobold-metals,Kobold Metals,Kurt House,CEO,PhD from Harvard. Climate tech entrepreneur.,,
kobold-metals,Kobold Metals,Josh Goldman,Co-founder,Former KKR executive.,,
kodezi,Kodezi,Ishraq Khan,CEO,Self-taught coder since age 8; launched first startup in middle school; raised $1M in funding while in high school; now 21,South Asian (Bangladeshi-American),
kore-ai,Kore Ai,Raj Koneru,CEO,Indian-American tech entrepreneur. Founded Kore.ai in 2013.,,
krea-ai,Krea Ai,Diego Rodriguez,Co-Founder & CTO,"Engineering degree in audiovisual systems in Barcelona. Won fellowship from King of Spain to attend Cornell (dropped out). Background in digital art, 3D architectural visualization, and programming. Co-founded KREA via HF0 residency.",Venezuelan-Spanish,
krea-ai,Krea Ai,Victor Perez,Co-Founder & CEO,"Studied engineering in Barcelona, briefly attended Cornell on same royal fellowship (left after one day). Head of ML Research at Plyzer Intelligence (graph neural networks for e-commerce, 2018-2020). Background in music production and graffiti art.",Spanish,
krutrim,Krutrim,Bhavish Aggarwal,CEO,Founder of Ola (ride-hailing); IIT Bombay graduate; SoftBank-backed billionaire,Indian,
kunlunxin,Kunlunxin,Ouyang Jian,CEO,Led Kunlunxin AI chip division within Baidu before spinoff.,Chinese,
kyutai,Kyutai,Xavier Niel,Co-founder & Primary Backer,Founder of Iliad Group / Free (telecom); Founder of Station F,French,
kyutai,Kyutai,Rodolphe Saade,Co-founder & Backer,CEO of CMA CGM Group (shipping & logistics),French,
kyutai,Kyutai,Eric Schmidt,Co-founder & Backer,Former CEO & Chairman of Google; Schmidt Futures,American,
labelbox,Labelbox,Manu Sharma,CEO & Co-founder,"Aerospace engineer (Embry-Riddle, Stanford); former engineer at Planet Labs and DroneDeploy; born in Roorkee, India",Indian-American,
labelbox,Labelbox,Brian Rieger,President & Co-founder,Former Boeing 787 aerodynamicist; Forbes 30 Under 30; built aerospace hardware for the ISS,American,
labelbox,Labelbox,Dan Rasmuson,Co-founder,Software developer; early work in medical diagnostic imaging tools,American,
lambda,Lambda,Stephen Balaban,CEO,"Studied CS and Economics at University of Michigan. Twin brother of Michael. First engineering hire at Perceptio (on-device face recognition, acquired by Apple 2013). Started Lambda at Noisebridge hackerspace in SF's Mission District.",American,
lambda,Lambda,Michael Balaban,CTO,"BS in Mathematics and Computer Science from University of Michigan (2012). Twin brother of Stephen. Joined Nextdoor as software engineer on infrastructure team, helped scale from 300K to 100M users. Leads Lambda's technology and product development.",American,
lamini,Lamini,Sharon Zhou,CEO,PhD AI from Stanford (advised by Andrew Ng). Harvard BSc in CS & Classics. Former Google ML PM. MIT Tech Review 35 Under 35.,Chinese-American,
lamini,Lamini,Greg Diamos,CTO,Co-founded MLCommons/MLPerf. Led AI research at Baidu. Former NVIDIA CUDA team architect.,,
landbase,Landbase,Daniel Saks,CEO,Co-founder and former co-CEO of AppDirect (SaaS marketplace unicorn valued at $1B+),Canadian,
landbase,Landbase,Emily Zhang,CPO,Co-founder; product and data science leadership,Chinese-American,
langchain,Langchain,Harrison Chase,CEO,Harvard CS graduate; former entity linking lead at Kensho (fintech); former ML team lead at Robust Intelligence; launched LangChain as open-source project in Oct 2022,American,
langfuse,Langfuse,Marc Klingen,CEO,Previously at McKinsey and Roland Berger; technical background in software engineering,German,
langfuse,Langfuse,Max Deichmann,Co-Founder,Previously at BCG and in startup operations,German,
langfuse,Langfuse,Clemens Rawert,Co-Founder,Previously at McKinsey; software engineering background,German,
latent-health,Latent Health,Sriram Somasundaram,Co-Founder & Co-CEO,Indian-American. Age 28.,Indian-American,
latent-health,Latent Health,Rishabh Jain,Co-Founder & Co-CEO,Indian-American.,Indian-American,
latent-labs,Latent Labs,Simon Kohl,Founder & CEO,Former research scientist at DeepMind. Part of Nobel Prize-winning AlphaFold2 team. Co-led protein design team. Set up DeepMind's wet lab at Francis Crick Institute.,German,
leaping-ai,Leaping Ai,Kevin Wu,CEO & Co-Founder,"BS in CS from Technical University of Munich, with studies at Carnegie Mellon, NUS, Peking University. Former Associate at Boston Consulting Group (2020-2023). Interned at Global Founders Capital and Amazon. YC W25.",German-Chinese,
leaping-ai,Leaping Ai,Arkadiy Telegin,CTO & Co-Founder,"Born and raised in Kazakhstan. MSc in CS at Technical University of Munich, Visiting Scholar at University of Tokyo. Former Associate at BCG (3 years). Chief Software Officer at WARR Space Robotics (CRATER Mars rover). Previously at Microsoft and Plus.",Kazakhstani,
legion-ai,Legion Ai,Ely Abramovitch,Co-Founder & CEO,Prior experience at Microsoft Sentinel.,Israeli,
legion-ai,Legion Ai,Michael Gladishev,Co-Founder & VP R&D,Prior experience at Microsoft Sentinel.,Israeli,
legion-ai,Legion Ai,Eyal Fisher,Co-Founder & CTO,Cambridge AI research background.,Israeli,
legora,Legora,Max Junestrand,CEO,Swedish. 25 years old at founding. Dual degrees in ML and Business from KTH and SSE. Previously at McKinsey. YC alumni.,Swedish,
legora,Legora,Sigge Labor,Co-founder,Swedish co-founder.,Swedish,
leiniao-innovation,Leiniao Innovation,Li Hongwei,CEO & Founder,Technology executive with expertise in AR/VR and consumer electronics. Built Leiniao into the global leader in AR glasses sales.,Chinese,
leo-ai,Leo Ai,Maor Farid,Co-Founder & CEO,Dr. PhD in mechanical engineering at Technion (Israel) at age 24. Postdoc at MIT in applied mathematics and AI.,Israeli,
leo-ai,Leo Ai,Moti Moravia,Co-Founder & CTO,Mechanical engineer and AI expert. Met Maor Farid at age 18 in Israeli military's Brakim program.,Israeli,
lepton-ai,Lepton Ai,Yangqing Jia (Jia Yangqing),Co-Founder & CEO,"PhD in EECS from UC Berkeley, BS from Tsinghua University. Creator of Caffe deep learning framework. Founding engineer and Director of Facebook AI infrastructure. VP of Big Data and AI at Alibaba. Contributed to ONNX and PyTorch. Lepton acquired by NVIDIA.",Chinese,
lepton-ai,Lepton Ai,Bai Junjie,Co-Founder,MS in Computational Science and Engineering and BS in Mathematics from Technical University of Munich. Former Director of AI Platform at Alibaba. Technical Lead at Facebook AI. Quantitative Strategist at KCG Holdings. Helped develop PyTorch.,Chinese,
leta-logistics,Leta Logistics,Nick Joshi,CEO & Founder,10+ years of tech leadership in the US and Africa. Studied at University of Western Australia. Founded Leta in 2021 to apply AI to efficient goods movement for businesses across Africa.,Kenyan-American,
leta-logistics,Leta Logistics,Kip Maritim,CTO,"Led development and delivery of Leta's tech, overseeing product and engineering. Had a full-fledged tech team from previous collaborations before joining Leta. Builds solutions for supply chain control.",Kenyan,
leta-logistics,Leta Logistics,Anthony Ketter,COO / Chief Growth Officer,"Leads growth at Leta focusing on market expansion and customer success across Africa. Extensive business development and operations experience across FMCG, telcos, and tech.",Kenyan,
letta,Letta,Sarah Wooders,CEO,"Berkeley PhD, Sky Computing Lab",American,
letta,Letta,Charles Packer,CTO,"Berkeley PhD, Sky Computing Lab",American,
liblib-ai,Liblib Ai,Chen Mian,Founder & CEO,"Born 1992. Former ByteDance employee, headed commercialization for Jianying and CapCut teams. Left ByteDance May 2023 to found LiblibAI.",Chinese,
lightelligence,Lightelligence,Shen Yichen,CEO,PhD MIT Physics. Born 1989. Pioneered optical computing at MIT.,,
lightelligence,Lightelligence,Marin Soljacic,Co-founder,MIT professor of physics.,,
lightelligence,Lightelligence,Paul Xie,Co-founder,MIT researcher.,,
lightmatter,Lightmatter,Nicholas Harris,CEO,PhD from MIT Quantum Photonics Lab. 87+ patents. Optica Fellow. Prior R&D at Micron Technologies.,American,
lightmatter,Lightmatter,Darius Bunandar,Chief Scientist,PhD from MIT Quantum Photonics Lab.,Indonesian-American,
lightricks,Lightricks,Zeev Farbman,CEO,PhD student at Hebrew University of Jerusalem; computer vision researcher,Israeli,
lightricks,Lightricks,Nir Pochter,Co-founder,PhD student at Hebrew University of Jerusalem,Israeli,
lightricks,Lightricks,Yaron Inger,Co-founder,PhD student at Hebrew University of Jerusalem,Israeli,
lightricks,Lightricks,Amit Goldstein,Co-founder,PhD student at Hebrew University of Jerusalem,Israeli,
lightricks,Lightricks,Itai Tsiddon,Co-founder,Former Supreme Court of Israel clerk,Israeli,
lila-sciences,Lila Sciences,Geoffrey von Maltzahn,CEO,GP at Flagship Pioneering. Co-founded 10 companies with $10B combined market cap.,American,
lila-sciences,Lila Sciences,Noubar Afeyan,Chairman,Founder/CEO Flagship Pioneering. Co-founded Moderna.,Armenian-Lebanese-American,
limbic,Limbic,Ross Harper,Co-Founder & CEO,Dr.,British,
limbic,Limbic,Sebastiaan de Vries,Co-Founder,,Dutch,
liminal-experiences,Liminal Experiences,Brendan Mulligan,Founder & CEO,"8 years at Riot Games leading investments, acquisitions, strategic partnerships, and League of Legends economy design.",American,
liminal-experiences,Liminal Experiences,David Lieberman,Co-Founder & Technical Co-Founder,Former Group Product Lead at Riot Games. VP of Engineering at no-code game engine Buildbox.,American,
limx-dynamics,Limx Dynamics,Wei Zhang,Co-Founder & CEO,Dr. Tenured professor. PhD from Purdue University.,Chinese,
limx-dynamics,Limx Dynamics,Li Zhang,Co-Founder & COO,Former COO at WeRide (autonomous driving).,Chinese,
limy,Limy,Aviv Shamny,Co-Founder & CEO,a16z speedrun scout.,Israeli,
limy,Limy,Ido Zabarsky,Co-Founder & COO,a16z speedrun scout.,Israeli,
limy,Limy,Ori Riechman,Co-Founder & CTO,,Israeli,
lio,Lio,Vladimir Keil,Co-Founder & CEO,Had a profitable startup by age 22. Co-founded Gabriel AI (partnered with German FBI for telephone fraud prevention). Experienced procurement problems firsthand while selling enterprise software. YC S23.,German,
lio,Lio,Lukas Heinzmann,Co-Founder & CTO,MS in AI/ML from Technical University of Munich. One of first employees at startup acquired by Audi (brought AI/ML to mobile apps). Technical lead for myAudi app (tripled user base). Co-founded Gabriel AI.,German,
lio,Lio,Till Wagner,Co-Founder & COO,Experience in web/app design and product-building at AI startups in SF. Operational and analytic experience at Deloitte's biggest German client. Worked at SAP. His failure buying equipment with SAP's own software inspired Lio's creation.,German,
liquid-ai,Liquid Ai,Ramin Hasani,CEO,PhD in CS from TU Wien (Austria) with distinction; MIT CSAIL scientist; research on liquid neural networks and robust deep learning,Iranian,
liquid-ai,Liquid Ai,Mathias Lechner,Co-Founder,MIT CSAIL researcher; co-inventor of liquid neural networks,Austrian,
liquid-ai,Liquid Ai,Alexander Amini,Co-Founder,MIT CSAIL researcher; co-inventor of liquid neural networks,Iranian-American,
liquid-ai,Liquid Ai,Daniela Rus,Co-Founder,Director of MIT CSAIL; one of the world's most prominent robotics and AI researchers,Romanian-American,
livekit,Livekit,Russ d'Sa,Co-Founder & CEO,"BS and MS in Computer Science from UC Davis. Previously at Twitter and 23andMe. Co-founded Evie Labs (acquired by Medium, 2019). Led product at Medium for creators and readers. Started LiveKit during Covid-19 pandemic.",American,
livekit,Livekit,David Zhao,Co-Founder & CTO,Studied Computer Engineering at University of Washington. Director of Engineering at Medium. Co-founded Evie Labs and Zecter (acquired by Motorola Mobility). Previously at Amazon. Senior Venture Partner at Pioneer Fund.,American,
lizzyai,Lizzyai,Yannis Niebelschuetz,Founder & CEO,"Previously Founder & CEO of CoachHub (raised $350M+, expanded to 7 offices globally, clients include Ford, Coca-Cola, Virgin Atlantic). Former Senior Manager at LinkedIn.",German,
llamaindex,Llamaindex,Jerry Liu,Co-Founder & CEO,"BSE in CS with certificate in finance from Princeton (2017, Shapiro Prize, Outstanding Senior Thesis Award). ML Engineering Manager at Robust Intelligence. Research Scientist at Uber (2018-2021). ML Engineer at Quora. Interned at Two Sigma and Apple.",Chinese-American,
lmarena,Lmarena,Anastasios N. Angelopoulos,CEO,PhD EECS UC Berkeley,Greek-American,
lmarena,Lmarena,Wei-Lin Chiang,CTO,PhD EECS UC Berkeley,Taiwanese-American,
lmarena,Lmarena,Ion Stoica,Co-founder/Advisor,"Berkeley professor, co-founded Databricks and Anyscale",Romanian-American,
lorikeet,Lorikeet,Jamie Hall,Co-Founder & CEO,Former research tech lead at Google Brain. Third named author on Google's 2022 LaMDA paper. Fourth author on 2020 Meena paper.,Australian,
lorikeet,Lorikeet,Steve Hind,Co-Founder,Led product teams at Stripe and Watershed.,Australian,
loti-ai,Loti Ai,Luke Arrigoni,Co-Founder & CEO,Ran an AI consulting firm for a decade. Former data scientist at CAA (talent agency).,American,
loti-ai,Loti Ai,Rebekah Arrigoni,Co-Founder,,American,
loti-ai,Loti Ai,Hirak Chhatbar,Co-Founder,Serial entrepreneur.,Indian,
louiza-labs,Louiza Labs,Larissa Tyagi,Co-Founder,YC S25 batch.,Indian-American,
louiza-labs,Louiza Labs,Georgia Witchel,Co-Founder,YC S25 batch.,,
lovable,Lovable,Anton Osika,Co-Founder & CEO,"Studied Industrial Economics at KTH Royal Institute of Technology (completed at double speed). Worked in particle physics at CERN. First technical hire at Ampfield, founding engineer at Sana (Enterprise AI). Co-founded Depict.ai (CTO). Created GPT Engineer (one of fastest-growing GitHub repos). Europe's youngest self-made billionaire at 26.",Swedish,
lovable,Lovable,Fabian Hedin,Co-Founder & CTO,BS in Industrial Engineering and Management from KTH (2021). Built proptech firm TenFAST. Developed the computer interface used by physicist Stephen Hawking. Collaborated with former SpaceX engineers on wheelchair technology. Front-end engineering lead at Depict (2022-2023).,Swedish,
luma-ai,Luma Ai,Amit Jain,Co-Founder & CEO,"Former Systems and ML Engineer at Apple, led Passthrough feature for Apple Vision Pro",Indian,
luma-ai,Luma Ai,Alberto Taiuti,Co-Founder,,Italian,
lumai,Lumai,Tim Weil,CEO,Oxford spinout co-founder.,British,
lumai,Lumai,Xianxin Guo,Head of Research,Oxford optical computing researcher.,Chinese,
lumana,Lumana,Sagi Ben Moshe,CEO,Former Intel Chief Incubation Officer and GM. Joined Intel via acquisition of his 3D Imaging company. Was Intels most senior Israeli executive.,Israeli,
lumana,Lumana,Ron Kimmel,CSO,Professor. Former senior role at Intel Israel.,Israeli,
lumana,Lumana,Ofir Mulla,CTO,Former senior role at Intel Israel.,Israeli,
lumia-security,Lumia Security,Omri Iluz,CEO,Founded PerimeterX (acq 2022). 25 years cybersecurity.,Israeli,
lumia-security,Lumia Security,Bobi Gilburd,CTO,Former Colonel IDF Unit 8200. CISO Israeli Intelligence.,Israeli,
luminal-ai,Luminal Ai,Unknown,Co-Founder,YC S25 batch.,,
luminance,Luminance,Adam Guthrie,Founder / Chief Technical Architect,Cambridge-based AI researcher,British,
luminance,Luminance,Dr. Graham Sills,Founder / Director of AI,Cambridge-based AI researcher,British,
luminance,Luminance,Dr. Mike Lynch (deceased),Original seed investor and early backer,Founder of Autonomy (acquired by HP for $11B); died in yacht accident in August 2024,British,
lyte,Lyte,Alexander Shpunt,CEO & Co-Founder,Co-founded and served as CTO of PrimeSense (acquired by Apple in 2013 for ~$350M). Key architect of Apple's depth-sensing platform including Face ID. Led depth sensing at Apple for a decade.,Israeli,
lyte,Lyte,Arman Hajati,Co-Founder,"Former Apple engineer, key architect behind Apple's depth-sensing and perception technologies.",American,
lyte,Lyte,Yuval Gerson,Co-Founder,"Former Apple engineer, key architect behind Apple's depth-sensing and perception technologies.",Israeli,
mage-ai,Mage Ai,Tommy Dang,CEO,Former Airbnb engineer. Headed marketing and promotions platform.,,
mage-ai,Mage Ai,Xiaoyou Wang,Co-founder,Co-founded Mage AI.,,
magic,Magic,Eric Steinberger,Co-founder & CEO,"Born in Vienna, Austria. Obsessed with AI from age 14. Studied Computer Science at University of Cambridge (2018-2020). Researcher in Deep Reinforcement Learning at Facebook AI Research (FAIR) from 2019-2022, where he collaborated with Noam Brown on poker AI (PokerRL). Founded ClimateScience, a climate education nonprofit. Left Cambridge and FAIR in 2022 to start Magic.",Austrian,
magic,Magic,Sebastian De Ro,Co-founder & CTO,"Holds a Master's degree in Computer Science. Previously at Google Research, specializing in large-scale machine learning systems. Co-founded two AI startups in Europe focused on NLP. Expertise in neural architecture design, distributed systems, and AI safety.",German,
magicschool-ai,Magicschool Ai,Adeel Khan,Founder & CEO,"Former teacher, assistant principal, principal, and district administrator in public schools",South Asian,
mai-marketing,Mai Marketing,Yuchen Wu,CEO,BS from Tsinghua University. PhD from Northwestern. Engineering Director at Google (2010-2020). VP of Engineering at Instacart.,Chinese-American,
mai-marketing,Mai Marketing,Jian Wang,CTO,PhD ML from UC Santa Cruz. Sr. Staff Engineer at Google Ads.,Chinese-American,
maieutic-semi,Maieutic Semi,Gireesh Rajendran,CEO & Co-Founder,"Founded Steradian Semiconductors (imaging radar, acquired by Renesas Electronics 2022). Team collectively holds 70+ patents. Products shipped over 1 billion units globally. Deep domain expertise in semiconductor innovation.",Indian,
maieutic-semi,Maieutic Semi,Ashish Lachhwani,Co-Founder & Chief Business Officer,Co-founded Steradian Semiconductors with Rajendran and Kumar (acquired by Renesas 2022). Extensive background in semiconductor design and AI systems.,Indian,
maieutic-semi,Maieutic Semi,Rakesh Kumar,Co-Founder & Chief Product Officer,Co-founded Steradian Semiconductors with Rajendran and Lachhwani (acquired by Renesas 2022). Background in semiconductor design.,Indian,
maihem,Maihem,Max Ahrens,CEO & Co-Founder,"PhD/Postdoc NLP Oxford, McKinsey",German,
maihem,Maihem,Eduardo Candela,CTO & Co-Founder,"PhD AI Safety Imperial College, MSc MIT, Tesla",Spanish,
mainframe,Mainframe,Jordan Singer,Founder & CEO,"CS degree from University of Arizona. 14 years building consumer products. Founded Diagram (one of earliest AI design tools, acquired by Figma). Product Designer at Figma. Previously shaped product at Cash App/Square. Design engineering background.",American,
majestic-labs,Majestic Labs,Ofer Shacham,CEO,Sold Chip Genesis to Google. Head of Silicon at Google GChips. VP/Head of FAST at Meta Reality Labs. 120+ patents.,Israeli,
majestic-labs,Majestic Labs,Sha Rabii,President,"Led Google silicon team, then Meta FAST.",Iranian-American,
majestic-labs,Majestic Labs,Masumi Reynders,COO,"Ex-Google, Meta FAST teams.",Japanese-American,
mako,Mako,Waleed Atallah,Co-Founder & CEO,Cornell Tech faculty-led startup,Middle Eastern,
mako,Mako,Mohamed Abdelfattah,Co-Founder,Cornell Tech,Egyptian,
mako,Mako,Lukasz Dudziak,Co-Founder,,Polish,
mal-bank,Mal Bank,Abdallah Abu-Sheikh,CEO,Serial fintech entrepreneur,Arab/Jordanian,
manas-ai,Manas Ai,Siddhartha Mukherjee,CEO,Pulitzer Prize oncologist. Columbia professor. Author Emperor of All Maladies.,Indian-American (Bengali),
manas-ai,Manas Ai,Reid Hoffman,Co-founder,Co-founder of LinkedIn. Partner Greylock.,American,
mandolin-ai,Mandolin Ai,Will Yin,Co-Founder & CEO,Repeat entrepreneur with background in healthcare,Chinese,
mandolin-ai,Mandolin Ai,Rohit Rustagi,Co-Founder & COO,Repeat entrepreneur,Indian,
manus-ai,Manus Ai,Xiao Hong (萧弘),Co-founder & CEO,"Details not widely reported; first startup launched in 2016, one year after graduation Founded first startup in 2016 building creator tools for WeChat. Founded Butterfly Effect in 2022, which launched Monica (a browser extension AI assistant) before pivoting to Manus.",Chinese,
manus-ai,Manus Ai,"Ji Yichao (季逸超), known as ""Peak""",Co-founder & Chief Scientist,"Beijing Information Science and Technology University (dropped out) Built ""Mammoth Browser"" (猛犸浏览器) at age 17, which became the most downloaded third-party iPhone browser in China. Later built Magi, a knowledge search engine. Named to MIT Technology Review's Innovators Under 35 (2025). Age ~32.",Chinese,
manus-ai,Manus Ai,Zhang Tao (张涛),Co-founder & CPO (Product),Chongqing University of Posts and Telecommunications Former Head of Global Product at ByteDance (2022-2023). Previously product manager at Tencent. Directed the Manus launch video.,Chinese,
marqvision,Marqvision,Mark Lee,Co-Founder & CEO,"Harvard Economics (Magna Cum Laude), Harvard Law School JD. Former McKinsey consultant. Former product lead at Honestfund.",Korean-American,
marqvision,Marqvision,DK Lee,Co-Founder & CBO,,Korean,
marr-labs,Marr Labs,Han Shu,Co-Founder,"Co-created Vlingo, the speech tech that powered Siri and Samsung's S-Voice (acquired for $225M)",Chinese,
marr-labs,Marr Labs,Dave Grannan,Co-Founder,Co-created Vlingo (acquired for $225M); serial entrepreneur in speech technology,American,
marvelx,Marvelx,Ali el Hassouni,Founder & CEO,Former Head of Data & AI at bunq (neobank unicorn); PhD in AI from Vrije Universiteit Amsterdam,Moroccan-Dutch,
mastra,Mastra,Abhi Aiyer,Co-Founder & CTO,"Principal engineer at Netlify, led 100+ person engineering org. Built Gatsby Cloud infrastructure (tens of thousands of build nodes, billions of files, hundreds of TB monthly). Previously co-built Gatsby for ~8 years.",American,
mastra,Mastra,Sam Bhagwat,Co-Founder & CEO,"Stanford graduate (2011). Co-founded Gatsby.js (open-source React framework, scaled to $5M ARR, sold to Netlify). Previously engineer at Zenefits (W13) and Plangrid (W12). Spent ~8 years building Gatsby.",American,
